formatted_path,sum_pageviews,sum_unique_pageviews,sum_time_on_page,time_per_view,name,nouns
/blog/2021/02/03/security-cluster-connectivity-is-generally-available-on-azure-databricks,817,739,414360,507.17258261933904,security cluster connectivity is generally available on azure databricks,"[""security"",""cluster"",""connectivity"",""azure"",""databricks""]"
/blog/2021/04/02/data-ai-summit-is-back,730,645,211457,289.66712328767125,data ai summit is back,"[""data"",""ai"",""summit"",""back""]"
/blog/2021/06/04/dont-miss-these-top-10-announcements-from-data-ai-summit,3658,3219,2654240,725.5986878075452,dont miss these top 10 announcements from data ai summit,"[""dont"",""announcements"",""data"",""ai"",""summit""]"
/blog/2020/06/24/introducing-delta-engine,9027,7780,4153826,460.15575495735015,introducing delta engine,"[""delta"",""engine""]"
/blog/2020/08,1,1,27,27,NA,[]
/blog/2021/02/04/how-lakehouses-solve-common-issues-with-data-warehouses,1509,1358,581331,385.24254473161034,how lakehouses solve common issues with data warehouses,"[""lakehouses"",""issues"",""data"",""warehouses""]"
/blog/2021/02/16,1,1,0,0,NA,[]
/blog/2021/04/30/custom-dns-with-aws-privatelink-for-databricks-workspaces,329,295,215346,654.5471124620061,custom dns with aws privatelink for databricks workspaces,"[""custom"",""dns"",""aws"",""privatelink"",""databricks"",""workspaces""]"
/blog/2021/08/06/5-key-steps-to-successfully-migrate-from-hadoop-to-the-lakehouse-architecture,1340,1177,624567,466.094776119403,5 key steps to successfully migrate from hadoop to the lakehouse architecture,"[""steps"",""hadoop"",""lakehouse"",""architecture""]"
/blog/2020/06/04/how-the-minnesota-twins-scaled-pitch-scenario-analysis-to-measure-player-performance-part-1,1316,1087,668975,508.33966565349544,how the minnesota twins scaled pitch scenario analysis to measure player performance part 1,"[""minnesota"",""twins"",""pitch"",""scenario"",""analysis"",""measure"",""player"",""performance"",""part-1""]"
/blog/2021/03/03/databricks-named-a-leader-in-2021-gartner-magic-quadrant-for-data-science-and-machine-learning-platforms,6,4,1045,174.16666666666666,databricks named a leader in 2021 gartner magic quadrant for data science and machine learning platforms,"[""databricks"",""leader"",""in-2021"",""gartner"",""magic"",""quadrant"",""data"",""science"",""machine"",""learning"",""platforms""]"
/blog/2021/06/09/how-to-simplify-cdc-with-delta-lakes-change-data-feed,2270,2000,1119155,493.01982378854626,how to simplify cdc with delta lakes change data feed,"[""cdc"",""delta"",""lakes"",""change"",""data"",""feed""]"
/blog/2021/07/23/getting-started-with-ingestion-into-delta-lake,5110,4340,2939405,575.2260273972603,getting started with ingestion into delta lake,"[""ingestion"",""delta"",""lake""]"
/blog/2020/04/29/evolving-the-databricks-brand,186,169,31234,167.9247311827957,evolving the databricks brand,"[""databricks"",""brand""]"
/blog/2020/08/26/womens-equality-day-cultivating-leadership-communication-and-negotiation-skills,210,179,111704,531.9238095238095,womens equality day cultivating leadership communication and negotiation skills,"[""womens"",""equality"",""day"",""leadership"",""communication"",""negotiation"",""skills""]"
/blog/2020/09/02/spark-ai-summit-europe-is-expanding-and-getting-a-new-name-data-ai-summit-europe,2,2,39,19.5,spark ai summit europe is expanding and getting a new name data ai summit europe,"[""spark"",""ai"",""summit"",""europe"",""name"",""data"",""ai"",""summit"",""europe""]"
/blog/2020/11/12/analytics-on-the-data-lake-with-tableau-and-the-lakehouse-architecture,5,3,2527,505.4,analytics on the data lake with tableau and the lakehouse architecture,"[""analytics"",""data"",""lake"",""tableau"",""lakehouse"",""architecture""]"
/blog/2020/12/15/handling-late-arriving-dimensions-using-a-reconciliation-pattern,4426,3766,2544781,574.9618165386354,handling late arriving dimensions using a reconciliation pattern,"[""handling"",""dimensions"",""reconciliation"",""pattern""]"
/blog/2021/02/10,2,2,6,3,NA,[]
/blog/2021/02/23/image-test?itm_data=testnew,1,1,10,10,image test?itm_data=testnew,"[""image"",""test?itm_data""]"
/blog/2020/07/29/a-look-at-the-new-structured-streaming-ui-in-apache-spark-3-0,2637,2228,954289,361.8843382631779,a look at the new structured streaming ui in apache spark 3 0,"[""look"",""streaming"",""ui"",""apache""]"
/blog/2020/09/11/announcing-databricks-labs-terrafazorm-integration-on-aws-and-azure,1,1,30,30,announcing databricks labs terrafazorm integration on aws and azure,"[""databricks"",""labs"",""terrafazorm"",""integration"",""aws""]"
/blog/2020/10/29/announcing-databricks-on-aws-quick-starts-to-deploy-in-under-15-minutes,1582,1408,695575,439.680783817952,announcing databricks on aws quick starts to deploy in under 15 minutes,"[""databricks"",""aws"",""starts"",""minutes""]"
/blog/2021/01/28/how-to-accelerate-demand-planning-from-4-5-hours-to-under-1-hour-with-azure-databricks,270,247,135763,502.8259259259259,how to accelerate demand planning from 4 5 hours to under 1 hour with azure databricks,"[""demand"",""planning"",""hours"",""hour"",""azure"",""databricks""]"
/blog/2021/05/06/introducing-delta-sharing-an-open-protocol-for-secure-data-sharing,1,1,0,0,introducing delta sharing an open protocol for secure data sharing,"[""delta"",""sharing"",""protocol"",""data"",""sharing""]"
/blog/2021/05/25/time-series-data-analytics-in-financial-services-with-databricks-and-kx,926,836,427010,461.13390928725704,time series data analytics in financial services with databricks and kx,"[""time"",""series"",""data"",""analytics"",""services"",""databricks"",""kx""]"
/blog/2021/10/13/using-miops-with-mlflow-and-azure,1,1,20,20,using miops with mlflow and azure,"[""using"",""miops"",""mlflow""]"
/blog/2020/06/25,2,2,35,17.5,NA,[]
/blog/2020/11,1,1,0,0,NA,[]
/blog/2021/02/17,2,2,30,15,NA,[]
/blog/2021/07/15/driving-transformation-at-northwestern-mutual-with-scalable-open-lakehouse-platform,536,478,321590,599.9813432835821,driving transformation at northwestern mutual with scalable open lakehouse platform,"[""transformation"",""lakehouse"",""platform""]"
/blog/2021/10/10/spark-petabyte-sort,1,1,7,7,spark petabyte sort,"[""spark"",""petabyte"",""sort""]"
/blog/2020/11/18/databricks-and-coursera-launch-data-science-specialization-for-data-analysts,1503,1332,579147,385.32734530938126,databricks and coursera launch data science specialization for data analysts,"[""databricks"",""coursera"",""launch"",""data"",""science"",""specialization"",""data"",""analysts""]"
/blog/2021/05/25/databricks.com/blog/2021/05/25/leverage-unused-compute-capacity-for-data-ai-with-azure-spot-instances-and-azure-databricks,15,5,8840,589.3333333333334,databricks.com,"[""blog/2021/05/25"",""leverage"",""compute"",""capacity"",""data"",""ai"",""azure"",""spot"",""instances"",""azure"",""databricks""]"
/blog/2020/08/07/on-demand-virtual-workshop-predicting-churn-to-improve-customer-retention,1003,717,382527,381.382851445663,on demand virtual workshop predicting churn to improve customer retention,"[""demand"",""workshop"",""churn"",""customer"",""retention""]"
/blog/2021/05/11/azure-databricks-training-and-key-sessions-at-data-ai-summit-2021,349,316,95326,273.1404011461318,azure databricks training and key sessions at data ai summit 2021,"[""azure"",""databricks"",""training"",""sessions"",""data"",""ai"",""summit-2021""]"
/blog/2021/03/19/image-test-with-inline-utm,23,5,3301,143.52173913043478,image test with inline utm,"[""image"",""test"",""utm""]"
/blog/2020/07,1,1,10,10,NA,[]
/blog/2020/09/17,3,2,15,5,NA,[]
/blog/2021/02/23/image-test&itm_data=thisTest,1,1,10,10,image test&itm_data=thisTest,"[""image""]"
/blog/2021/04/01,1,1,4,4,NA,[]
/blog/2021/05/19/databricks.com/blog/evolution-to-the-data-lakehouse,1,1,0,0,databricks.com,"[""blog"",""evolution"",""data"",""lakehouse""]"
/blog/2021/06/09/databricks.com/blog/2021/06/09/how-to-simplify-cdc-with-delta-lakes-change-data-feed,1,1,34,34,databricks.com,"[""blog/2021/06/09"",""cdc"",""delta"",""lakes"",""change"",""data"",""feed""]"
/blog/2021/02/10/automatically-evolve-your-nested-column-schema-stream-from-a-delta-table-version-and-check-your-constraints,1170,1039,874387,747.3393162393162,automatically evolve your nested column schema stream from a delta table version and check your constraints,"[""column"",""schema"",""stream"",""delta"",""table"",""version"",""check"",""constraints""]"
/blog/2021/02/26/announcing-general-availability-ga-of-the-power-bi-connector-for-databricks,1239,1132,453146,365.7352703793382,announcing general availability ga of the power bi connector for databricks,"[""availability"",""ga"",""power"",""bi"",""connector"",""databricks""]"
/blog/2020/10/15/building-the-latinx-network-and-celebrating-our-heritage,212,180,81255,383.27830188679246,building the latinx network and celebrating our heritage,"[""building"",""latinx"",""network"",""heritage""]"
/blog/2020/08/28/operationalize-100-machine-learning-models-in-as-little-as-12-weeks-with-azure-databricks,2614,2293,1224721,468.5237184391737,operationalize 100 machine learning models in as little as 12 weeks with azure databricks,"[""operationalize-100"",""machine"",""learning"",""models"",""as-12"",""weeks"",""azure"",""databricks""]"
/blog/2021/02/02/data-exfiltration-protection-with-databricks-on-aws,627,530,308635,492.2408293460925,data exfiltration protection with databricks on aws,"[""data"",""exfiltration"",""protection"",""databricks"",""aws""]"
/blog/2021/05/25/databricks.com/blog/2021/05/25/databricks-announces-2021-north-america-partner-awards,4,3,7,1.75,databricks.com,"[""blog/2021/05/25"",""databricks"",""announces-2021"",""north"",""america"",""partner"",""awards""]"
/blog/2021/05/20/databricks.com/blog/2021/05/20/countdown-to-dais-21-blog-html,3,2,62,20.666666666666668,databricks.com,"[""blog/2021/05/20"",""countdown"",""dais-21"",""blog"",""html""]"
/blog/2020/07/15/spark-ai-summit-reflections,640,579,306690,479.203125,spark ai summit reflections,"[""spark"",""ai"",""summit"",""reflections""]"
/blog/2020/08/25/tensorboard-a-new-way-to-use-tensorboard-on-databricks,823,725,196528,238.79465370595383,tensorboard a new way to use tensorboard on databricks,"[""tensorboard"",""way"",""use"",""tensorboard"",""databricks""]"
/blog/2021/03/09/glow-v1-0-0-next-generation-genome-wide-analytics,704,635,288416,409.6818181818182,glow v1 0 0 next generation genome wide analytics,"[""glow"",""generation"",""genome"",""analytics""]"
/blog/2021/05/20/databricks.com/blog/2021/05/20/building-a-cybersecurity-lakehouse-for-crowdstrike-falcon-events,2,1,22,11,databricks.com,"[""blog/2021/05/20"",""building"",""cybersecurity"",""lakehouse"",""crowdstrike"",""falcon"",""events""]"
/blog/2020/05/29,3,3,20,6.666666666666667,NA,[]
/blog/2020/10/18/announcing-summit-keynotes-malcolm-gladwell-dr-kira-radinsky-jeremy-singer-vine,780,703,104244,133.64615384615385,announcing summit keynotes malcolm gladwell dr kira radinsky jeremy singer vine,"[""summit"",""keynotes"",""malcolm"",""gladwell"",""dr"",""kira"",""radinsky"",""jeremy"",""singer"",""vine""]"
/blog/2020/11/16/key-sessions-for-aws-customers-at-data-ai-summit-europe-2020,73,70,12796,175.2876712328767,key sessions for aws customers at data ai summit europe 2020,"[""sessions"",""aws"",""customers"",""data"",""ai"",""summit"",""europe-2020""]"
/blog/2021/06/18/modern-chief-data-officer-transitioning-from-defense-to-offense,475,430,179571,378.0442105263158,modern chief data officer transitioning from defense to offense,"[""data"",""officer"",""defense"",""offense""]"
/blog/2021/09/22/extracting-oncology-insights-from-real-world-clinical-data-with-nlp,3,2,446,148.66666666666666,extracting oncology insights from real world clinical data with nlp,"[""oncology"",""insights"",""world"",""data"",""nlp""]"
/blog/2020/06/18/introductin-apache-spark-3-0-now-available-in-databricks-runtime-7-0,1,1,8,8,introductin apache spark 3 0 now available in databricks runtime 7 0,"[""introductin"",""apache"",""databricks""]"
/blog/2020/06/22/announcing-the-2020-databricks-data-team-award-finalists,1569,1355,696795,444.10133843212236,announcing the 2020 databricks data team award finalists,"[""the-2020"",""databricks"",""data"",""team"",""award"",""finalists""]"
/blog/2020/09/29/ZGl2aW5nLW,1,1,0,0,ZGl2aW5nLW,"[""ZGl2aW5nLW""]"
/blog/2020/11/23/acid-transactions-on-data-lakes,624,514,245400,393.2692307692308,acid transactions on data lakes,"[""acid"",""transactions"",""data"",""lakes""]"
/blog/2021/06/04/databricks.com/blog/2021/06/04/dont-miss-these-top-10-announcements-from-data-ai-summit,9,6,2157,239.66666666666666,databricks.com,"[""blog/2021/06/04"",""dont"",""announcements"",""data"",""ai"",""summit""]"
/blog/2020/06/05/modernizing-risk-management-part-2-aggregations-backtesting-at-scale-and-introducing-alternative-data,4886,3948,3025884,619.2967662709783,modernizing risk management part 2 aggregations backtesting at scale and introducing alternative data,"[""risk"",""management"",""part-2"",""aggregations"",""backtesting"",""scale"",""data""]"
/blog/2020/06/29/celebrating-pride-month-at-databricks,493,451,127928,259.4888438133874,celebrating pride month at databricks,"[""pride"",""month"",""databricks""]"
/blog/2020/12/18,1,1,5,5,NA,[]
/blog/2021/07/22,1,1,204,204,NA,[]
/blog/2020/05/29/adaptive-query-execution-speeding=up-spark-sql-at-runtime,1,1,9,9,adaptive query execution speeding=up spark sql at runtime,"[""query"",""execution"",""speeding"",""spark"",""sql"",""runtime""]"
/blog/2020/06/16/healthcare-and-life-sciences-sessions-you-dont-want-to-miss-at-spark-ai-summit-2020,550,438,232741,423.16545454545457,healthcare and life sciences sessions you dont want to miss at spark ai summit 2020,"[""healthcare"",""life"",""sciences"",""sessions"",""dont"",""spark"",""ai"",""summit-2020""]"
